horse,career_runs,win_strike_rate
Centuron (IRE),3,0.0
Century Bond (JPN),0,0.0
Century Dream (IRE),32,0.28125
Century Fighter (GB),3,0.0
Ceo Stealth Mode (IRE),0,0.0
Ceol Agus Ol (IRE),7,0.1428571428571428
Ceol An Ghra (IRE),5,0.2
Ceol Draiochta (IRE),8,0.0
Ceol Na Mara (AUS),1,0.0
Ceol Na Nog (IRE),20,0.2
Ceolwulf (GB),14,0.0714285714285714
Ceolwulf (NZ),20,0.25
Cepage (FR),29,0.1724137931034483
Cepalo Delafayette (FR),5,0.0
Cephalus (GB),46,0.2391304347826087
Cepheus (GB),14,0.2142857142857142
Ceporine (FR),3,0.3333333333333333
Cera (FR),13,0.0769230769230769
Ceramic (IRE),6,0.0
Ceramick (FR),0,0.0
Ceramist (GB),2,0.0
Cerastes (TUR),0,0.0
Ceratonia (GB),5,0.2
Cerbere Du Berlais (FR),1,0.0
Cerberus (AUS),0,0.0
Cerberus (GB),46,0.0434782608695652
Cerbiatto (JPN),5,0.0
Cerca Trova (IRE),11,0.2727272727272727
Cerca Trova (JPN),1,0.0
Cercene (IRE),8,0.25
Cercis (GB),0,0.0
Cercle DOr (IRE),2,0.0
Cercle De La Vie (IRE),1,0.0
Cercycoise (FR),0,0.0
Cerda (AUS),0,0.0
Cereal Killer (FR),4,0.0
Cerealice (FR),12,0.0
Cerebellum (AUS),0,0.0
Cerefino (NZ),18,0.0555555555555555
Cerelia (IRE),3,0.0
Cerendipity (IRE),27,0.1481481481481481
Ceres (GER),0,0.0
Ceres Ring (GB),9,0.0
Cerezo (ARG),0,0.0
Cerezo Flame (JPN),1,0.0
Cerezo Primavera (JPN),0,0.0
Cerezo Rosa (PER),0,0.0
Cerigo (FR),1,0.0
Cerisaie (FR),1,0.0
Cerise DAvril (FR),3,0.0
Cerise Firth (GB),5,0.0
Cerise Vole (IRE),0,0.0
Cerisy (FR),0,0.0
Cern (GB),4,0.0
Cernunnos (FR),28,0.0714285714285714
Ceroc (IRE),30,0.0666666666666666
Cerons (AUS),0,0.0
Cerrado (USA),0,0.0
Cerretalto (USA),0,0.0
Cerrito Pinon (ARG),2,0.0
Cerro (IRE),1,0.0
Cerro Bayo (IRE),6,0.1666666666666666
Cerro Blanco (GB),1,1.0
Cerro Largo (BRZ),2,0.0
Cerro Vanguardia (IRE),2,0.0
Cersei (GB),13,0.2307692307692307
Cersei (SAF),0,0.0
Cersei Lannister (IRE),3,0.0
Certain Ellie (AUS),0,0.0
Certain Lad (GB),49,0.2244897959183673
Certain Rise (AUS),0,0.0
Certain Style (GB),23,0.0434782608695652
Certain Time (GB),3,0.0
Certainly (NZ),1,0.0
Certainly (SAF),0,0.0
Certainly Quiet (AUS),0,0.0
Certainly Red (GB),33,0.1818181818181818
Certainty (GB),0,0.0
Certaldo (FR),5,0.2
Certaldo (IRE),1,0.0
Certamen (IRE),4,0.0
Certerach (IRE),7,0.0
Certificate (GB),19,0.1578947368421052
Certification (IRE),7,0.1428571428571428
Certified (IRE),3,0.6666666666666666
Certified Freak (IRE),3,0.0
Certify (NZ),0,0.0
Certosa (IRE),4,0.0
Cerulean (FR),10,0.1
Cerulean Bay (IRE),26,0.2692307692307692
Cerulean Blue (IRE),0,0.0
Cerulean Silk (GB),15,0.0
Cerulean Summer (IRE),23,0.0869565217391304
Cerunnos (USA),0,0.0
Cerutty (IRE),2,0.0
Cervaro (FR),19,0.0526315789473684
Cervaro Della Sala (GB),9,0.1111111111111111
Cervaro I (FR),0,0.0
Cervaro Mix (FR),13,0.3076923076923077
Cervetto (IRE),9,0.2222222222222222
Cervin (FR),18,0.0555555555555555
Cervinia (BRZ),1,0.0
Cervinia (IRE),4,0.0
Cervinia (JPN),11,0.2727272727272727
Cervione (FR),0,0.0
Ces Soirees La (IRE),0,0.0
Cesar Collonges (FR),14,0.1428571428571428
Cesar Copetta (CHI),0,0.0
Cesar De Ballon (FR),4,0.25
Cesar De Pretot (FR),0,0.0
Cesar Du Gouet (FR),21,0.0476190476190476
Cesar Du Lemo (FR),5,0.4
Cesar Et Rosalie (FR),30,0.2
Cesar Jaguen (FR),0,0.0
Cesare Di Roma (FR),8,0.0
Cesaree (FR),3,0.0
Cesarine Palace (FR),4,0.0
Cesaris (FR),1,0.0
Cesaro (FR),1,0.0
Cesca (IRE),5,0.0
Cesifire (IRE),15,0.1333333333333333
Cest Bibi (IRE),3,0.0
Cest Encore (GER),0,0.0
Cest Jersey (FR),13,0.1538461538461538
Cest Jolie (CHI),2,0.0
Cest Notre Gris (IRE),13,0.0
Cest Quelquun (FR),24,0.1666666666666666
Cest Rien (IRE),18,0.0
Cestlerouteencor (IRE),0,0.0
Cestrian Spirit (IRE),3,0.0
Cet Horizon (GB),4,0.25
Cetao (FR),0,0.0
Cetavoir (FR),1,0.0
Cetenza (FR),0,0.0
Cetera (IRE),10,0.1
Cetra (IRE),1,0.0
Cetshwayo (AUS),1,0.0
Cettas Hill (GB),1,0.0
Ceu De Brigadeiro (BRZ),3,0.6666666666666666
Ceuta (IRE),1,0.0
Cevedale (FR),2,0.0
Cevennes (FR),0,0.0
Ceyhan (GB),17,0.0588235294117647
Ceylon (IRE),12,0.1666666666666666
Ceylon (NZ),1,0.0
Cezanne (USA),4,0.5
Cezarro (IRE),12,0.0
Cha Cha Heels (USA),0,0.0
Cha Cha Tap (USA),0,0.0
Cha Chang (AUS),0,0.0
Cha Siu Bao (AUS),1,0.0
ChaHore (FR),0,0.0
Chaam (FR),1,0.0
Chababa Rosetgri (FR),18,0.0
Chabada Le Dun (FR),0,0.0
Chabadabada (FR),5,0.2
Chabadatika (FR),12,0.0833333333333333
Chabalko (FR),4,0.0
Chabaud (NZ),2,0.5
Chabelita (GB),4,0.0
Chabichou Dupoitou (GB),3,0.0
Chablis (IRE),9,0.1111111111111111
Chablis Rock (IRE),3,0.0
Chabrol (AUS),0,0.0
Chac Du Cadran (FR),2,0.0
Chacaranda (FR),3,0.3333333333333333
Chace B A Lady (USA),0,0.0
Chacha And Rhum (FR),1,0.0
Chacha Blues (FR),2,0.0
Chacha Boy (FR),18,0.0555555555555555
Chacha Dancer (IRE),24,0.0416666666666666
Chacha Touille (FR),11,0.0
Chachapoyas (AUS),2,0.0
Chachaup (AUS),5,0.0
Chachkova (USA),0,0.0
Chachnak (FR),7,0.2857142857142857
Chachoun (FR),0,0.0
Chacun Pour Soi (FR),20,0.4
Chadic (GB),13,0.2307692307692307
Chadleeny (IRE),5,0.0
Chadlington Lad (IRE),15,0.0
Chads Choice (USA),0,0.0
Chagall (GER),5,0.2
Chagall (IRE),72,0.1111111111111111
Chagatai (IRE),10,0.3
Chahore (FR),0,0.0
Chahuteur (FR),14,0.2142857142857142
Chai Chai (IRE),17,0.1176470588235294
Chai Yo Power (GB),5,0.6
Chaika (JPN),0,0.0
Chaika (TUR),1,1.0
Chaillot (AUS),13,0.0769230769230769
Chailloue (FR),13,0.1538461538461538
Chain Gang (GB),13,0.1538461538461538
Chain Link (GB),2,0.0
Chain Of Beacons (GB),31,0.064516129032258
Chain Of Command (IRE),2,0.0
Chain Of Daisies (GB),18,0.4444444444444444
Chain Of Destiny (IRE),7,0.0
Chain Of Destiny (TUR),0,0.0
Chain Of Events (GB),8,0.125
Chain Of Fools (AUS),0,0.0
Chain Of Gold (AUS),26,0.0384615384615384
Chain Of Lightning (AUS),16,0.25
Chain Of Love (JPN),3,0.0
Chain Smoker (GB),23,0.0434782608695652
Chainofconsequence (IRE),40,0.075
Chains Of Honour (AUS),1,1.0
Chains Of Love (IRE),6,0.1666666666666666
Chairlift Chat (IRE),2,0.0
Chairman (AUS),0,0.0
Chairman (FR),6,0.3333333333333333
Chairman Fitz (IRE),3,0.0
Chairman Garey (USA),0,0.0
Chairman Lo (AUS),22,0.0454545454545454
Chairman Power (GB),8,0.0
Chairmanforlife (FR),1,0.0
Chairmanfourtimes (IRE),9,0.2222222222222222
Chairmanic (IRE),6,0.0
Chairmanoftheboard (IRE),44,0.0909090909090909
Chaissac (FR),1,0.0
Chakina (FR),1,0.0
Chakisto (FR),18,0.1666666666666666
Chakra (GB),2,0.0
Chakrii (IRE),19,0.0526315789473684
Chalandamarz (SWI),2,0.5
Chalbane De Saisy (FR),0,0.0
Chalchalero Key (ARG),0,0.0
Chalco (FR),18,0.0555555555555555
Chaldean (GB),9,0.5555555555555556
Chaldero (FR),15,0.2
Chale Chalo (IRE),7,0.2857142857142857
Chalena (GB),4,0.0
Chaleur (GB),9,0.2222222222222222
Chaleur (JPN),9,0.0
Chalfont Colony (IRE),0,0.0
Chalgrove (FR),1,1.0
Chalice Beauty (IRE),0,0.0
Chalieb (GB),3,0.0
Chalk It Down (IRE),0,0.0
Chalk Mountain (GB),34,0.1764705882352941
Chalk Stream (GB),12,0.3333333333333333
Chalk That Down (IRE),4,0.0
Chalke Valley (GB),2,0.0
Chalkida (FR),0,0.0
Chalky (IRE),3,0.0
Chalky White (IRE),13,0.1538461538461538
Challah (USA),0,0.0
Challenge (FR),0,0.0
Challenge Anneka (GB),1,0.0
Challet (IRE),38,0.1052631578947368
Challico (GB),4,0.5
Challow (IRE),55,0.0
Chally Chute (IRE),21,0.238095238095238
Chalm (FR),8,0.0
Chalmont (IRE),4,0.0
Chalnetta (FR),5,0.0
Chalon (USA),9,0.0
Chalonnial (FR),5,0.4
Chalossa (FR),0,0.0
Chalta (IRE),1,0.0
Chalutier (FR),2,0.0
Chamade (GB),5,0.4
Chamaille (IRE),4,0.0
Chamali (GB),2,1.0
Chamalu (NZ),0,0.0
Chamane (FR),0,0.0
Chamara (FR),0,0.0
Chamarel (AUS),1,0.0
Chamas (IRE),0,0.0
Chamasay (GB),10,0.2
Chambard (FR),35,0.2
Chamber Choir (GB),12,0.1666666666666666
Chamber Doors (USA),1,0.0
Chamberi (FR),6,0.0
Chamberlain (GB),1,0.0
Chambers (IRE),9,0.0
Chambersville (USA),0,0.0
Chambery Prince (IRE),6,0.0
Chambois (FR),6,0.1666666666666666
Chambolle (FR),1,0.0
Chambonas (FR),14,0.0714285714285714
Chambord (NZ),0,0.0
Chambord Du Loir (FR),3,0.0
Chambord Du Lys (FR),9,0.1111111111111111
Chambray Dancer (IRE),1,0.0
Chameron (FR),21,0.1904761904761904
Chamois (USA),1,0.0
Chamois Road (AUS),3,0.0
Chamomile (GB),6,0.1666666666666666
Chamonix (IRE),9,0.0
Champ (IRE),24,0.4583333333333333
Champ Ayr (GB),4,0.0
Champ DHonneur (GB),1,0.0
Champ De Bataille (FR),20,0.05
Champ De Fleurs (JPN),1,0.0
Champ De Gane (FR),20,0.0
Champ De Mars (GB),11,0.0
Champ Des Reves (IRE),0,0.0
Champ Elect (AUS),1,0.0
Champ Is Real (GB),5,0.2
Champ Kabai (GB),1,0.0
Champ Kiely (IRE),17,0.4117647058823529
Champ Libre (IRE),1,0.0
Champ Line (KOR),0,0.0
Champ Patrol (NZ),11,0.0909090909090909
Champ Royal (FR),29,0.1724137931034483
Champ Young (IRE),0,0.0
Champagne (IRE),6,0.1666666666666666
Champagne (JPN),0,0.0
Champagne Admiral (IRE),8,0.25
Champagne Affair (AUS),0,0.0
Champagne Affair (USA),0,0.0
Champagne Agent (IRE),10,0.1
Champagne Angel (IRE),5,0.0
Champagne Anyone (USA),6,0.1666666666666666
Champagne Anyway (FR),0,0.0
Champagne At Tara (GB),29,0.1379310344827586
Champagne Auction (GB),10,0.1
Champagne Beach (GB),0,0.0
Champagne Beauty (IRE),21,0.0952380952380952
Champagne Belle (GB),3,0.0
Champagne Benefit (IRE),5,0.0
Champagne Bliss (USA),0,0.0
Champagne Bob (GB),56,0.125
Champagne Boom (AUS),0,0.0
Champagne Breath (IRE),6,0.0
Champagne Breeze (GB),0,0.0
Champagne Calling (USA),0,0.0
Champagne Castle (IRE),3,0.0
Champagne Cath (AUS),0,0.0
Champagne Ceri (GB),3,0.0
Champagne Champ (GB),40,0.175
Champagne Charger (AUS),0,0.0
Champagne Charley (FR),0,0.0
Champagne Charley (GB),3,0.0
Champagne Chaser (GB),27,0.1111111111111111
Champagne Chic (IRE),9,0.3333333333333333
Champagne City (GB),58,0.2068965517241379
Champagne Classic (IRE),13,0.4615384615384615
Champagne Clouds (GB),7,0.0
Champagne Cocktail (AUS),0,0.0
Champagne Cocktail (SAF),0,0.0
Champagne Color (JPN),13,0.0769230769230769
Champagne Court (IRE),40,0.15
Champagne Cuddles (AUS),20,0.1
Champagne Dame (AUS),1,0.0
Champagne Dancer (FR),4,0.0
Champagne Dancer (SAF),0,0.0
Champagne Dawn (IRE),10,0.1
Champagne Dial (GB),4,0.0
Champagne Diamond (GB),0,0.0
Champagne Diva (IRE),9,0.0
Champagne Diva (USA),0,0.0
Champagne Dream (GB),3,0.0
Champagne Dreams (AUS),2,0.0
Champagne Du Bourg (FR),1,0.0
Champagne Duchess (IRE),3,0.0
Champagne Eclipse (IRE),0,0.0
Champagne Express (GB),7,0.2857142857142857
Champagne Fame (IRE),2,0.0
Champagne Fever (IRE),4,0.25
Champagne Flo (IRE),0,0.0
Champagne Forever (FR),0,0.0
Champagne Fortune (IRE),1,0.0
Champagne Fountain (GB),4,0.0
Champagne Freddie (GB),11,0.0
Champagne Garden (AUS),0,0.0
Champagne George (IRE),11,0.1818181818181818
Champagne Getaway (IRE),1,0.0
Champagne Gift (IRE),8,0.0
Champagne Glory (IRE),0,0.0
Champagne Gold (IRE),21,0.1428571428571428
Champagne Harmony (IRE),26,0.1923076923076923
Champagne Haza (GB),3,0.0
Champagne Haze (SAF),5,0.2
Champagne Hero (AUS),1,0.0
Champagne Highlife (GER),19,0.0526315789473684
Champagne Ideas (IRE),7,0.0
Champagne Ivy (USA),2,0.0
Champagne Izzy (IRE),11,0.0
Champagne James (IRE),11,0.0
Champagne Juan (USA),0,0.0
Champagne Jury (IRE),6,0.3333333333333333
Champagne Kid (IRE),15,0.2
Champagne Kiss (GB),1,0.0
Champagne Lady (USA),0,0.0
Champagne Lilly (GB),5,0.0
Champagne Mahler (IRE),19,0.1052631578947368
Champagne Mal (IRE),1,0.0
Champagne Marengo (IRE),15,0.2666666666666666
Champagne Mark (JPN),0,0.0
Champagne Mega (IRE),5,0.0
Champagne Melanie (IRE),4,0.0
Champagne Mesdames (FR),4,0.0
Champagne Mist (IRE),5,0.2
Champagne Monarch (IRE),13,0.0
Champagne Mondays (GB),29,0.0689655172413793
Champagne Mystery (IRE),32,0.125
Champagne N Caviar (IRE),2,0.0
Champagne Noir (IRE),15,0.0666666666666666
Champagne Nova (IRE),8,0.0
Champagne On Ice (IRE),3,0.0
Champagne On Rocks (IRE),3,0.0
Champagne Or Water (IRE),10,0.2
Champagne Over (GB),0,0.0
Champagne Paddy (IRE),9,0.1111111111111111
Champagne Pat (IRE),11,0.0909090909090909
Champagne Piaff (FR),9,0.3333333333333333
Champagne Pink (FR),23,0.1304347826086956
Champagne Platinum (IRE),28,0.1428571428571428
Champagne Poetry (USA),0,0.0
Champagne Pop (AUS),0,0.0
Champagne Poppy (IRE),2,0.0
Champagne Powder (FR),11,0.0909090909090909
Champagne Power (IRE),1,0.0
Champagne Present (IRE),4,0.25
Champagne Prince (GB),19,0.2631578947368421
Champagne Problem (IRE),5,0.6
Champagne Problems (USA),4,0.25
Champagne Queen (GB),10,0.0
Champagne Ransom (FR),17,0.0
Champagne Rebel (IRE),8,0.0
Champagne Reef (GB),2,0.0
Champagne Reign (IRE),5,0.0
Champagne Rein (NZ),0,0.0
Champagne Rhythm (IRE),15,0.0666666666666666
Champagne Rian (IRE),3,0.3333333333333333
Champagne Rocco (IRE),0,0.0
Champagne Rodeo (IRE),1,0.0
Champagne Room (USA),6,0.3333333333333333
Champagne Rose (BRZ),1,0.0
Champagne Rules (GB),42,0.1666666666666666
Champagne Saloon (IRE),8,0.0
Champagne Sarah (IRE),19,0.1578947368421052
Champagne Secret (IRE),5,0.0
Champagne Sparkles (FR),10,0.0
Champagne Storm (IRE),2,0.0
Champagne Supanova (IRE),33,0.0909090909090909
Champagne Terri (IRE),30,0.1
Champagne To Go (IRE),20,0.1
Champagne Toots (NZ),0,0.0
Champagne Town (GB),8,0.0
Champagne Trail (IRE),1,0.0
Champagne Train (CAN),3,0.0
Champagne Twist (IRE),14,0.1428571428571428
Champagne Vacation (IRE),15,0.0
Champagne Venture (IRE),8,0.0
Champagne Victory (IRE),4,0.0
Champagne Vintage (IRE),6,0.0
Champagne Well (IRE),21,0.1428571428571428
Champagne West (IRE),19,0.1052631578947368
Champagnebreakfast (GB),4,0.0
Champagneforoscar (IRE),2,0.0
Champagnegaloppen (IRE),1,0.0
Champagnendiamonds (IRE),1,0.0
Champagneonme (USA),0,0.0
Champagnes On Ice (USA),2,0.5
Champagnesocialist (IRE),11,0.1818181818181818
Champagnesuperover (IRE),24,0.2083333333333333
Champagny (FR),5,0.0
Champarisi (GB),22,0.2727272727272727
Champayne Ginger (IRE),10,0.0
Champayne Girl (GB),0,0.0
Champayne Lady (IRE),12,0.1666666666666666
Champbenoit (FR),0,0.0
Champella (IRE),17,0.2941176470588235
Champenois (FR),0,0.0
Champenoise (FR),21,0.1904761904761904
Champers (USA),2,0.0
Champers Elysees (IRE),16,0.3125
Champers On Ice (IRE),17,0.3529411764705882
Champersgalore (GB),2,0.0
Champersinthepark (IRE),0,0.0
Champery (SAF),0,0.0
Champetre (IRE),13,0.0
Champi De Bersy (FR),6,0.0
Champingatthebit (SAF),0,0.0
Champion Again Ole (IRE),5,0.2
Champion Brogie (IRE),30,0.1
Champion Chase (FR),31,0.0
Champion Court (IRE),6,0.5
Champion Dragon (IRE),25,0.12
Champion Green (IRE),12,0.1666666666666666
Champion Harbour (IRE),19,0.0526315789473684
Champion Instinct (NZ),18,0.1666666666666666
Champion Island (IRE),7,0.1428571428571428
Champion Lawman (IRE),1,0.0
Champion Lupin (JPN),0,0.0
Champion Method (AUS),24,0.125
Champion Pal (NZ),11,0.0909090909090909
Champion Pride (GB),19,0.0526315789473684
Champion Singer (IRE),0,0.0
Champion Sport (FR),6,0.0
Champion Stage (NZ),0,0.0
Champion Star (BRZ),6,0.0
Champion Supreme (AUS),28,0.1071428571428571
Champion Way (BRZ),0,0.0
Champione (IRE),6,0.0
Champions Club (IRE),2,0.0
Champions Dream (USA),0,0.0
Champions Hill (IRE),8,0.0
Champions League (FR),4,0.0
Champions Way (AUS),36,0.2222222222222222
Championship (IRE),15,0.2666666666666666
Champit (USA),5,0.0
Champlatreux (FR),0,0.0
Champlin (USA),0,0.0
Champoleon (FR),8,0.125
Champonie (GB),2,1.0
Champs De Reves (GB),21,0.0952380952380952
Champs Hill (GB),8,0.0
Champs Inblue (GB),12,0.0833333333333333
Champy Charm (FR),7,0.2857142857142857
Champyownez (GB),5,0.0
Chamrousse (IRE),7,0.0
Chamundi Hills (IRE),3,0.0
Chamuyenta (CHI),1,0.0
Chanamee (IRE),3,0.0
Chanaz (FR),17,0.0
Chance (GB),43,0.1860465116279069
Chance A Glance (GB),0,0.0
Chance A Tune (FR),16,0.1875
Chance Another One (IRE),14,0.2142857142857142
Chance De Ballon (FR),11,0.0909090909090909
Chance Du Roy (FR),3,0.0
Chance Encounter (IRE),0,0.0
Chance Finale (FR),8,0.0
Chance It (IRE),35,0.0285714285714285
Chance It (USA),3,0.3333333333333333
Chance Of Glory (FR),5,0.0
Chance Of Luck (USA),0,0.0
Chance Reward (AUS),0,0.0
Chance Taken (GB),12,0.0
Chance Taken (NZ),0,0.0
Chance The Robin (IRE),8,0.25
Chance To Dance (IRE),5,0.0
Chance To Dream (IRE),10,0.2
Chance To Shine (USA),1,0.0
Chanceanotherfive (IRE),25,0.2
Chanceawetmorning (IRE),12,0.0833333333333333
Chanceitlucky (IRE),4,0.0
Chanceiton (IRE),25,0.16
Chancelier (FR),0,0.0
Chancellery (IRE),8,0.125
Chancellor (FR),2,0.5
Chancellor (GB),9,0.4444444444444444
Chancellorstown (IRE),7,0.0
Chanceofa Lifetime (IRE),25,0.12
Chancer (GB),2,0.0
Chancer Dancer (IRE),18,0.0555555555555555
Chancer Jack (IRE),2,0.0
Chancer McPatrick (USA),6,0.1666666666666666
Chancery (USA),35,0.0857142857142857
Chancery Lane (IRE),0,0.0
Chances Are (IRE),9,0.1111111111111111
Chanceuse (GB),4,0.0
Chanceux (IRE),20,0.2
Chanceux (USA),3,0.0
Chancey Approach (IRE),7,0.0
Chanche The Life (IRE),8,0.0
Chancheng Glory (USA),36,0.2222222222222222
Chancheng Prince (USA),35,0.1142857142857142
Chancing Dreams (IRE),1,0.0
Chancletero (CHI),1,0.0
Chanclette (ARG),1,0.0
Chancycourt (IRE),8,0.0
Chandana (AUS),0,0.0
Chandeleur (JPN),0,0.0
Chandeleur Island (IRE),3,0.0
Chandelier Moon (JPN),1,0.0
Chandigah (IRE),14,0.1428571428571428
Chandler Bing (FR),1,0.0
Chandlers Bay (IRE),5,0.0
Chandlier (IRE),1,0.0
Chandon Burj (AUS),0,0.0
Chandon Elysees (GB),9,0.0
Chandos (IRE),1,0.0
Chandos Belle (GER),10,0.1
Chandrayaan (GB),32,0.03125
Chandresh (GB),20,0.0
Chandrika (IRE),4,0.0
Chanducoq (FR),6,0.1666666666666666
Chanel Bere (FR),7,0.0
Chanel Gold (FR),16,0.125
Chanelin (USA),1,0.0
Chanell Eclipse (IRE),5,0.0
Chanelle DArc (FR),1,0.0
Chanelle Noir (IRE),5,0.0
Chanels Legacy (USA),5,0.0
Change For Good (IRE),7,0.1428571428571428
Change Hill (IRE),5,0.0
Change Maker (GB),4,0.0
Change My Address (AUS),0,0.0
Change Of Address (IRE),2,0.0
Change Of Command (USA),3,0.0
Change Of Control (USA),8,0.25
Change Of Fortune (GB),35,0.0285714285714285
Change Of Gold (FR),11,0.0
Change Of Velocity (IRE),8,0.25
Change Of Venue (USA),0,0.0
Change Or Go (IRE),3,0.0
Change Sings (IRE),22,0.2272727272727272
Change The Game (USA),7,0.0
Change The Rules (IRE),16,0.125
Change Ur Tune (IRE),13,0.0769230769230769
Change Your Story (IRE),10,0.0
Changed Times (IRE),2,0.0
Changeling (ITY),0,0.0
Changemyluck (GB),6,0.0
Changeofluck (IRE),12,0.0
Changeofmind (IRE),19,0.1052631578947368
Changeyourstars (IRE),5,0.2
Changi (USA),7,0.0
Changing (IRE),3,0.0
Changing Colours (GB),13,0.1538461538461538
Changing Direction (IRE),2,0.0
Changing Fast (IRE),2,0.0
Changing Lanes (GB),1,0.0
Changing Minds (IRE),4,0.0
Changing Notes (AUS),0,0.0
Changing The Guard (GB),31,0.032258064516129
Changing The Rules (IRE),12,0.0833333333333333
Changingoftheguard (IRE),16,0.1875
Changouro Basc (FR),16,0.0
Changqing (USA),1,0.0
Chanito (USA),1,0.0
Chankaya (GB),18,0.0555555555555555
Chankillo (GB),28,0.1071428571428571
Channagide (USA),9,0.1111111111111111
Channel (IRE),4,0.5
Channel Baie (FR),0,0.0
Channel Cat (USA),25,0.16
Channel Fury (USA),0,0.0
Channel Island (USA),0,0.0
Channel Maker (CAN),44,0.1590909090909091
Channel Marker (USA),3,0.3333333333333333
Channel Packet (GB),68,0.088235294117647
Channel Stuffer (USA),2,0.0
Channel Tunnel (JPN),2,0.0
Channer Boy (IRE),0,0.0
Channing Road (USA),0,0.0
Chanonry Point (IRE),5,0.4
Chanpour (FR),1,0.0
Chans Delight (AUS),2,0.0
Chanson DAmour (GB),17,0.0588235294117647
Chanson De La Mer (IRE),4,0.0
Chanson De Marins (FR),2,0.0
Chanson Douce (FR),3,0.3333333333333333
Chanson Ecossaise (FR),10,0.1
Chansonette (SAF),2,0.5
Chant (IRE),17,0.1764705882352941
Chant DAutomne (FR),4,0.0
Chant De Garde (FR),0,0.0
Chant Du Loup (FR),3,0.0
Chant Du Val (FR),0,0.0
Chant For More (IRE),8,0.0
Chant Sacre (FR),1,0.0
Chant dOr (IRE),2,0.0
Chanta Joy (ARG),1,1.0
Chantal (FR),4,0.0
Chantara Rose (GB),19,0.0526315789473684
Chantaraman (FR),0,0.0
Chantarella (FR),4,0.25
Chante Blu (FR),7,0.0
Chante Lou (FR),0,0.0
Chante Neige (FR),0,0.0
Chantecler (GB),45,0.0666666666666666
Chantegrive (FR),2,0.0
Chanteiro (GB),4,0.0
Chanteline (USA),1,1.0
Chantelle (GB),2,1.0
Chanter Le Blues (IRE),0,0.0
Chanteur Du Bourg (FR),7,0.0
Chanteuse (FR),4,0.0
Chantez (IRE),7,0.2857142857142857
Chantico (GB),15,0.0666666666666666
Chantilly (GER),1,0.0
Chantilly (IRE),10,0.1
Chantilly Dragon (GB),6,0.0
Chantilly Fraise (FR),1,0.0
Chantilly Haze (GB),24,0.0
Chantilly Lace (IRE),5,0.2
Chantilly Lace (NZ),2,0.0
Chantilly Moon (GB),13,0.0
Chantilly Rosa (JPN),0,0.0
Chantilly Rose (GB),13,0.0
Chantilly Trezy (FR),3,0.0
Chantilly Wings (IRE),5,0.0
Chanting Hill (IRE),17,0.1764705882352941
Chantrea (AUS),0,0.0
Chantresse (IRE),18,0.0
Chantreys (GB),10,0.0
Chantry Flats (USA),0,0.0
Chantry House (IRE),23,0.4347826086956521
Chantski (AUS),0,0.0
Chantyman (SAF),4,0.0
Chanunpa (FR),3,0.0
Chao Chao (FR),2,0.0
Chao Chom (USA),0,0.0
Chao Socio (CHI),0,0.0
Chaolini (FR),5,0.0
Chaos Agent (USA),0,0.0
Chaos Control (IRE),34,0.1470588235294117
Chaos Theory (IRE),1,0.0
Chaos Theory (USA),7,0.1428571428571428
Chaosmos (JPN),6,0.0
Chaotic (GB),3,0.0
Chaotic Carnival (GB),1,0.0
Chaotic Carter (IRE),1,0.0
Chaouia (FR),0,0.0
Chap (GB),5,0.2
Chapa (FR),0,0.0
Chapada (AUS),24,0.0416666666666666
Chapadios (CHI),0,0.0
Chapados (AUS),0,0.0
Chapal (AUS),0,0.0
Chapalu (USA),0,0.0
Chapardeuse (FR),18,0.0555555555555555
Chaparrachik (IRE),10,0.0
Chaparral Dream (IRE),36,0.0555555555555555
Chaparral Prince (IRE),10,0.0
Chaparral Star (AUS),33,0.0909090909090909
Chapasco (AUS),0,0.0
Chapati (FR),27,0.074074074074074
Chapeau Bleu (IRE),39,0.1282051282051282
Chapeau David (FR),0,0.0
Chapeau De Soleil (IRE),7,0.4285714285714285
Chapeau Rouge (FR),10,0.0
Chapel Choir (GB),2,0.0
Chapel Garden (IRE),0,0.0
Chapel Green (IRE),26,0.1923076923076923
Chapel Hall (IRE),0,0.0
Chapel Hill (FR),0,0.0
Chapel Island (IRE),4,0.0
Chapel Lane (IRE),2,0.0
Chapel Lass (SAF),0,0.0
Chapel Rock (GB),0,0.0
Chapel Rock (SAF),0,0.0
Chapel Star (NZ),0,0.0
Chapel Stile (IRE),17,0.2941176470588235
Chapel Street (IRE),14,0.1428571428571428
Chapelhillhart (IRE),4,0.0
Chapelier (IRE),18,0.0
Chapelle Sixtine (FR),2,0.0
Chapellerie (IRE),0,0.0
Chapelli (GB),16,0.125
Chapess (GB),4,0.0
Chapka (FR),0,0.0
Chaplet (AUS),0,0.0
Chaplin (ARG),0,0.0
Chaplin (FR),14,0.0714285714285714
Chaplin Bay (IRE),67,0.0895522388059701
Chapman (GER),1,0.0
Chapman (IRE),8,0.0
Chapman (USA),0,0.0
Chapman Billy (GB),2,0.5
Chapmans Peak (GB),6,0.3333333333333333
Chapmans Peak (USA),1,0.0
Chapmanshype (IRE),25,0.36
Chapo De Ballon (FR),0,0.0
Chapolimoss (FR),1,0.0
Chapoturgeon (FR),0,0.0
Chapoutier (NZ),0,0.0
Chappaquiddick (GB),3,0.0
Chaps (USA),2,0.0
Chaptal (FR),11,0.2727272727272727
Chapter (IRE),5,0.2
Chapter And Verse (AUS),4,0.25
