horse,career_runs,win_strike_rate
A Little Bit Sassy (USA),3,0.0
A Little Chaos (IRE),15,0.1333333333333333
A Little Deep (AUS),5,0.0
A Little Early (IRE),0,0.0
A Little Faith (GB),0,0.0
A Little Frisky (CAN),2,0.0
A Little Help (GB),1,0.0
A Little Magic (IRE),14,0.3571428571428571
A Little Respect (IRE),5,0.0
A Little Something (GB),12,0.0
A Load Of Talk (IRE),0,0.0
A Long Day (IRE),2,0.0
A Long Road Ahead (GER),1,0.0
A Looker (USA),0,0.0
A Lot (USA),6,0.0
A Lot More Love (AUS),0,0.0
A Lot Of Good Men (AUS),3,0.3333333333333333
A Lott Of Kane (IRE),7,0.0
A Lotta Love (AUS),7,0.0
A Lougie (FR),9,0.0
A Lovable Rogue (GB),9,0.1111111111111111
A M Milky Way (USA),0,0.0
A Ma Chere (IRE),7,0.1428571428571428
A Ma Shay (AUS),0,0.0
A Magic Man (IRE),4,0.0
A Maize Zing Rip (USA),0,0.0
A Major Payne (GB),16,0.0
A Man To Match (AUS),3,0.0
A Mans Horse (IRE),2,0.0
A Matter Of Style (IRE),0,0.0
A Mayo Breeze (IRE),1,0.0
A Mere Bagatelle (IRE),53,0.0754716981132075
A Merveille (FR),0,0.0
A Mhacin (GB),8,0.0
A Mi Manera (FR),17,0.2941176470588235
A Midnight Kiss (GB),0,0.0
A Mighty King (IRE),1,0.0
A Milan To One (IRE),1,0.0
A Million Bucks (IRE),8,0.0
A Million Dreams (IRE),0,0.0
A Million Dreams (USA),0,0.0
A Million Tears (AUS),0,0.0
A Minardiere (FR),1,0.0
A Minute To Go (IRE),4,0.0
A Mist Opportunity (AUS),3,0.0
A Mo Reay (USA),3,0.0
A Moment Like This (USA),3,0.0
A Momentofmadness (GB),43,0.1860465116279069
A Moments Madness (IRE),8,0.125
A Montmartre (FR),14,0.0714285714285714
A Name At Last (IRE),0,0.0
A New Dawn (IRE),16,0.0625
A New Deck (IRE),3,0.0
A New Opportunity (FR),2,0.5
A New Rising (IRE),0,0.0
A New Siege (IRE),8,0.0
A Nice Touch (IRE),2,0.0
A Nod To Getaway (IRE),31,0.1290322580645161
A Nos Amours (FR),1,0.0
A Nos Choeurs (FR),0,0.0
A Nos Souvenirs (FR),10,0.0
A Nous Tous (FR),5,0.0
A O King (JPN),1,0.0
A Okay (IRE),3,0.0
A P Bandera (USA),1,0.0
A P Majetstic (USA),0,0.0
A P Meteor (USA),0,0.0
A Pai De Nom (GB),8,0.5
